method,group_kind,group,dist_from_train,n,known_true_slope,derived_prediction_slope,abs_slope_error,known_true_prevalence,derived_prediction_prevalence,prevalence_error,abs_prevalence_error,auc,liability_pseudo_r2,mae_true_risk,rmse_true_risk,brier,dem,pheno,seed,pgs_mode,centers
gamfit,deme,1.0,1.0,250,0.817370730022505,0.537591573199774,0.279779156822731,0.1028781571527231,0.1239052164712883,0.0210270593185651,0.0210270593185651,0.8265117994100295,0.3867571519266113,0.090270050593055,0.1248829342901436,0.0748223157919533,serial1d,phenoB,3,realpt,20
gamfit,deme,2.0,2.0,250,0.7101265263439863,0.5464204220912713,0.163706104252715,0.1614606880244844,0.139210986151666,-0.0222497018728183,0.0222497018728183,0.6349948078920041,0.2685757738158892,0.1137666829612011,0.1556836092762547,0.118714796419209,serial1d,phenoB,3,realpt,20
gamfit,deme,3.0,3.0,250,0.510489667072498,0.5377258886614186,0.0272362215889205,0.0655084854512414,0.0865140218218949,0.0210055363706535,0.0210055363706535,0.6893939393939393,0.188043065039844,0.0662797314946579,0.0920116149994901,0.0770197929776452,serial1d,phenoB,3,realpt,20
gamfit,deme,4.0,4.0,250,0.4812383579203789,0.5446809862484785,0.0634426283280996,0.2006790540492305,0.1863318435118504,-0.0143472105373801,0.0143472105373801,0.6385074939733781,0.1075752543266297,0.140521301048985,0.1828352682466194,0.1472903866394843,serial1d,phenoB,3,realpt,20
gamfit,deme,5.0,5.0,250,0.5878016013827457,0.5475209820252226,0.0402806193575231,0.0872725106253103,0.1005914692507312,0.0133189586254209,0.0133189586254209,0.5875199362041468,0.1746556739718461,0.0733432349643616,0.1027612040679319,0.0814838748259484,serial1d,phenoB,3,realpt,20
gamfit,deme,6.0,6.0,250,0.7745701816238718,0.5356082858551516,0.2389618957687201,0.0839348058326398,0.0518594715147911,-0.0320753343178486,0.0320753343178486,0.7347756410256411,0.2925807000907175,0.0610174799197896,0.0994560366016746,0.056596533408317,serial1d,phenoB,3,realpt,20
gamfit,deme,7.0,7.0,250,0.6094327701396178,0.5461651225100919,0.0632676476295259,0.069827476664219,0.0920852291081983,0.0222577524439793,0.0222577524439793,0.7359307359307359,0.1734425151016261,0.0711013230467965,0.0951942052031719,0.0661247609663288,serial1d,phenoB,3,realpt,20
gamfit,deme,8.0,8.0,250,0.6930120065776978,0.5394454614031683,0.1535665451745295,0.094506705178872,0.0911629923418147,-0.0033437128370572,0.0033437128370572,0.7318521356062057,0.2469419037260651,0.0715736567731708,0.1017762909731504,0.0806077065017464,serial1d,phenoB,3,realpt,20
gamfit,deme,9.0,9.0,250,0.7173571185062856,0.5491767540740028,0.1681803644322828,0.1245240791465521,0.1239965144624786,-0.0005275646840735,0.0005275646840735,0.6772844272844272,0.2595617632722221,0.0817973011168203,0.1109140519917727,0.0937237281114463,serial1d,phenoB,3,realpt,20
linpc,distance,0.0,0.0,250,0.7818779586423324,0.5392891810287153,0.2425887776136172,0.1744357552223941,0.1676008081571874,-0.0068349470652066,0.0068349470652066,0.7612627794629817,0.517493097486614,0.1065535621997749,0.1508045969456243,0.1211237231490348,serial1d,phenoB,3,realpt,20
linpc,distance,1.0,1.0,250,0.817370730022505,0.5286480964618814,0.2887226335606236,0.1028781571527231,0.1242155508362403,0.0213373936835171,0.0213373936835171,0.8248525073746312,0.3910048513331441,0.0895768086931115,0.1231643777807461,0.0740298964711244,serial1d,phenoB,3,realpt,20
linpc,distance,2.0,2.0,250,0.7101265263439863,0.5400754506931829,0.1700510756508034,0.1614606880244844,0.129504144938831,-0.0319565430856533,0.0319565430856533,0.6359034267912772,0.2666624401462085,0.1126686341221863,0.1573605756528876,0.1186353615062657,serial1d,phenoB,3,realpt,20
linpc,distance,3.0,3.0,250,0.510489667072498,0.4967040251292032,0.0137856419432947,0.0655084854512414,0.0811756142183565,0.015667128767115,0.015667128767115,0.6881977671451356,0.1871505749924921,0.0636288107136458,0.0900840770785033,0.0772129855462851,serial1d,phenoB,3,realpt,20
linpc,distance,4.0,4.0,250,0.4812383579203789,0.5470603986986485,0.0658220407782696,0.2006790540492305,0.1565290362965108,-0.0441500177527197,0.0441500177527197,0.6414421968347133,0.1088724470658244,0.1371960836402765,0.1866824083907982,0.1486167463946687,serial1d,phenoB,3,realpt,20
linpc,distance,5.0,5.0,250,0.5878016013827457,0.5249472644401391,0.0628543369426066,0.0872725106253103,0.1143022833165099,0.0270297726911996,0.0270297726911996,0.5835326953748006,0.1723912707088847,0.0793988883796186,0.1064809475841557,0.0825798533551719,serial1d,phenoB,3,realpt,20
linpc,distance,6.0,6.0,250,0.7745701816238718,0.5143951537610211,0.2601750278628507,0.0839348058326398,0.0946346591740976,0.0106998533414578,0.0106998533414578,0.7323717948717949,0.2893351282178504,0.0707889137762977,0.0935254478143257,0.0564374555779505,serial1d,phenoB,3,realpt,20
linpc,distance,7.0,7.0,250,0.6094327701396178,0.5064121550601186,0.1030206150794992,0.069827476664219,0.0892449164437027,0.0194174397794837,0.0194174397794837,0.7338801549327866,0.1694830626831487,0.069809009848257,0.0944685630122028,0.066329037113864,serial1d,phenoB,3,realpt,20
linpc,distance,8.0,8.0,250,0.6930120065776978,0.4978320712389184,0.1951799353387793,0.094506705178872,0.0755355990009395,-0.0189711061779324,0.0189711061779324,0.7331928749281746,0.2414509401616814,0.0690497910312164,0.1036653350999621,0.0811534678852488,serial1d,phenoB,3,realpt,20
linpc,distance,9.0,9.0,250,0.7173571185062856,0.5191855707601548,0.1981715477461307,0.1245240791465521,0.1005264765518822,-0.0239976025946698,0.0239976025946698,0.6768018018018018,0.2582719533614908,0.0780717652331465,0.1137250914990852,0.0936553664424652,serial1d,phenoB,3,realpt,20
linpc,deme,0.0,0.0,250,0.7818779586423324,0.5392891810287153,0.2425887776136172,0.1744357552223941,0.1676008081571874,-0.0068349470652066,0.0068349470652066,0.7612627794629817,0.517493097486614,0.1065535621997749,0.1508045969456243,0.1211237231490348,serial1d,phenoB,3,realpt,20
linpc,deme,1.0,1.0,250,0.817370730022505,0.5286480964618814,0.2887226335606236,0.1028781571527231,0.1242155508362403,0.0213373936835171,0.0213373936835171,0.8248525073746312,0.3910048513331441,0.0895768086931115,0.1231643777807461,0.0740298964711244,serial1d,phenoB,3,realpt,20
linpc,deme,2.0,2.0,250,0.7101265263439863,0.5400754506931829,0.1700510756508034,0.1614606880244844,0.129504144938831,-0.0319565430856533,0.0319565430856533,0.6359034267912772,0.2666624401462085,0.1126686341221863,0.1573605756528876,0.1186353615062657,serial1d,phenoB,3,realpt,20
linpc,deme,3.0,3.0,250,0.510489667072498,0.4967040251292032,0.0137856419432947,0.0655084854512414,0.0811756142183565,0.015667128767115,0.015667128767115,0.6881977671451356,0.1871505749924921,0.0636288107136458,0.0900840770785033,0.0772129855462851,serial1d,phenoB,3,realpt,20
linpc,deme,4.0,4.0,250,0.4812383579203789,0.5470603986986485,0.0658220407782696,0.2006790540492305,0.1565290362965108,-0.0441500177527197,0.0441500177527197,0.6414421968347133,0.1088724470658244,0.1371960836402765,0.1866824083907982,0.1486167463946687,serial1d,phenoB,3,realpt,20
linpc,deme,5.0,5.0,250,0.5878016013827457,0.5249472644401391,0.0628543369426066,0.0872725106253103,0.1143022833165099,0.0270297726911996,0.0270297726911996,0.5835326953748006,0.1723912707088847,0.0793988883796186,0.1064809475841557,0.0825798533551719,serial1d,phenoB,3,realpt,20
linpc,deme,6.0,6.0,250,0.7745701816238718,0.5143951537610211,0.2601750278628507,0.0839348058326398,0.0946346591740976,0.0106998533414578,0.0106998533414578,0.7323717948717949,0.2893351282178504,0.0707889137762977,0.0935254478143257,0.0564374555779505,serial1d,phenoB,3,realpt,20
linpc,deme,7.0,7.0,250,0.6094327701396178,0.5064121550601186,0.1030206150794992,0.069827476664219,0.0892449164437027,0.0194174397794837,0.0194174397794837,0.7338801549327866,0.1694830626831487,0.069809009848257,0.0944685630122028,0.066329037113864,serial1d,phenoB,3,realpt,20
linpc,deme,8.0,8.0,250,0.6930120065776978,0.4978320712389184,0.1951799353387793,0.094506705178872,0.0755355990009395,-0.0189711061779324,0.0189711061779324,0.7331928749281746,0.2414509401616814,0.0690497910312164,0.1036653350999621,0.0811534678852488,serial1d,phenoB,3,realpt,20
linpc,deme,9.0,9.0,250,0.7173571185062856,0.5191855707601548,0.1981715477461307,0.1245240791465521,0.1005264765518822,-0.0239976025946698,0.0239976025946698,0.6768018018018018,0.2582719533614908,0.0780717652331465,0.1137250914990852,0.0936553664424652,serial1d,phenoB,3,realpt,20
znorm,distance,0.0,0.0,250,0.7818779586423324,0.3709290234786261,0.4109489351637063,0.1744357552223941,0.1164408666231177,-0.0579948885992764,0.0579948885992764,0.7613751263902933,0.5180184914197965,0.1115687693753282,0.1758504858096413,0.1287281779364567,serial1d,phenoB,3,realpt,20
znorm,distance,1.0,1.0,250,0.817370730022505,0.4227029090854092,0.3946678209370958,0.1028781571527231,0.1096004353844137,0.0067222782316905,0.0067222782316905,0.8261430678466077,0.3917101100579098,0.0876354397180874,0.1250682286692071,0.0756863943596007,serial1d,phenoB,3,realpt,20
znorm,distance,2.0,2.0,250,0.7101265263439863,0.4659611028269009,0.2441654235170854,0.1614606880244844,0.1218956319588331,-0.0395650560656512,0.0395650560656512,0.6356438213914849,0.2665061628673775,0.1135175505677866,0.159721513134349,0.1185914735716079,serial1d,phenoB,3,realpt,20
znorm,distance,3.0,3.0,250,0.510489667072498,0.5066054446477091,0.0038842224247889,0.0655084854512414,0.1132855595964017,0.0477770741451603,0.0477770741451603,0.6866028708133972,0.1870727239789288,0.0809797645082144,0.1037015731151164,0.0779050750421756,serial1d,phenoB,3,realpt,20
znorm,distance,4.0,4.0,250,0.4812383579203789,0.5211018211346894,0.0398634632143105,0.2006790540492305,0.1119863814626524,-0.088692672586578,0.088692672586578,0.6411277643852846,0.1095532948850142,0.1411042252419963,0.2014862332583469,0.1535262227448815,serial1d,phenoB,3,realpt,20
znorm,distance,5.0,5.0,250,0.5878016013827457,0.5874975508376576,0.000304050545088,0.0872725106253103,0.1091842998514233,0.021911789226113,0.021911789226113,0.5847288676236044,0.1726355909335292,0.0773000893796539,0.1067278546318358,0.0829316293181545,serial1d,phenoB,3,realpt,20
znorm,distance,6.0,6.0,250,0.7745701816238718,0.6306245048162363,0.1439456768076354,0.0839348058326398,0.108713810520252,0.0247790046876122,0.0247790046876122,0.7337072649572649,0.2870007968321479,0.077031366218203,0.0981681326760915,0.056871154213982,serial1d,phenoB,3,realpt,20
