dem,pheno,method,metric,value,seed,pgs_mode,centers
serial1d,phenoB,znorm,rmse_true_risk,0.1967539712868393,7,realpt,20
serial1d,phenoB,znorm,auc,0.6600224822024399,7,realpt,20
serial1d,phenoB,znorm,liability_pseudo_r2,0.1807374996700874,7,realpt,20
serial1d,phenoA,gamfit,brier,0.1562771790648253,2,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1370496842550636,2,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.1805818619141513,2,realpt,20
serial1d,phenoA,gamfit,auc,0.6904191491625377,2,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2929854238039013,2,realpt,20
serial1d,phenoA,linpc,brier,0.1641426403600152,2,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1585745002688399,2,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.203318694751489,2,realpt,20
serial1d,phenoA,linpc,auc,0.603565674681582,2,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2319719450545436,2,realpt,20
serial1d,phenoA,znorm,brier,0.1658139419587373,2,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1706781002757606,2,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.2136656388335785,2,realpt,20
serial1d,phenoA,znorm,auc,0.5886246276256194,2,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.0935398406162996,2,realpt,20
serial1d,phenoA,gamfit,brier,0.1098866894386964,3,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1012729241178976,3,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.1373697382272135,3,realpt,20
serial1d,phenoA,gamfit,auc,0.7188419247452841,3,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2819631690495479,3,realpt,20
serial1d,phenoA,linpc,brier,0.111415996029524,3,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1073881289538482,3,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.1431804901338907,3,realpt,20
serial1d,phenoA,linpc,auc,0.6920057836510979,3,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2840388371578225,3,realpt,20
serial1d,phenoA,znorm,brier,0.1148818713873813,3,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1146827622925419,3,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.153444447039779,3,realpt,20
serial1d,phenoA,znorm,auc,0.6472181310736743,3,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.2443102795323199,3,realpt,20
serial1d,phenoA,gamfit,brier,0.1759094218624145,1,realpt,20
serial1d,phenoA,gamfit,mae_true_risk,0.1626059881705801,1,realpt,20
serial1d,phenoA,gamfit,rmse_true_risk,0.2065586844507912,1,realpt,20
serial1d,phenoA,gamfit,auc,0.6485457725261967,1,realpt,20
serial1d,phenoA,gamfit,liability_pseudo_r2,0.2169411896725871,1,realpt,20
serial1d,phenoA,linpc,brier,0.1787961856148897,1,realpt,20
serial1d,phenoA,linpc,mae_true_risk,0.1679245366619739,1,realpt,20
serial1d,phenoA,linpc,rmse_true_risk,0.2116971446682709,1,realpt,20
serial1d,phenoA,linpc,auc,0.6179950221788817,1,realpt,20
serial1d,phenoA,linpc,liability_pseudo_r2,0.2419834218618354,1,realpt,20
serial1d,phenoA,znorm,brier,0.184172593376352,1,realpt,20
serial1d,phenoA,znorm,mae_true_risk,0.1839345210516606,1,realpt,20
serial1d,phenoA,znorm,rmse_true_risk,0.2238670819991528,1,realpt,20
serial1d,phenoA,znorm,auc,0.5462851777984682,1,realpt,20
serial1d,phenoA,znorm,liability_pseudo_r2,0.0130565453161413,1,realpt,20
grid2d,phenoB,gamfit,brier,0.1326692978981285,2,realpt,20
grid2d,phenoB,gamfit,mae_true_risk,0.1228350735967123,2,realpt,20
grid2d,phenoB,gamfit,rmse_true_risk,0.1668126789511874,2,realpt,20
grid2d,phenoB,gamfit,auc,0.6682513736675334,2,realpt,20
grid2d,phenoB,gamfit,liability_pseudo_r2,0.2752124602170682,2,realpt,20
grid2d,phenoB,linpc,brier,0.1359568375638416,2,realpt,20
grid2d,phenoB,linpc,mae_true_risk,0.1297654207498873,2,realpt,20
grid2d,phenoB,linpc,rmse_true_risk,0.1753803905792713,2,realpt,20
grid2d,phenoB,linpc,auc,0.6455841230878794,2,realpt,20
grid2d,phenoB,linpc,liability_pseudo_r2,0.2027439416317911,2,realpt,20
grid2d,phenoB,znorm,brier,0.1411465859400565,2,realpt,20
grid2d,phenoB,znorm,mae_true_risk,0.145481392431814,2,realpt,20
grid2d,phenoB,znorm,rmse_true_risk,0.1912997113303874,2,realpt,20
grid2d,phenoB,znorm,auc,0.5334383223561361,2,realpt,20
grid2d,phenoB,znorm,liability_pseudo_r2,0.0157074321730204,2,realpt,20
grid2d,phenoA,gamfit,brier,0.1024521767662781,3,realpt,20
grid2d,phenoA,gamfit,mae_true_risk,0.0984114779381945,3,realpt,20
grid2d,phenoA,gamfit,rmse_true_risk,0.138076238701754,3,realpt,20
grid2d,phenoA,gamfit,auc,0.673765850465266,3,realpt,20
grid2d,phenoA,gamfit,liability_pseudo_r2,0.1468542876186576,3,realpt,20
grid2d,phenoA,linpc,brier,0.1038414890134913,3,realpt,20
grid2d,phenoA,linpc,mae_true_risk,0.1011207628013424,3,realpt,20
grid2d,phenoA,linpc,rmse_true_risk,0.1420818318189051,3,realpt,20
grid2d,phenoA,linpc,auc,0.6545605128403535,3,realpt,20
grid2d,phenoA,linpc,liability_pseudo_r2,0.1358862948569361,3,realpt,20
grid2d,phenoA,znorm,brier,0.1055443783562676,3,realpt,20
grid2d,phenoA,znorm,mae_true_risk,0.1080453927816587,3,realpt,20
grid2d,phenoA,znorm,rmse_true_risk,0.148966104079812,3,realpt,20
grid2d,phenoA,znorm,auc,0.6221548493058464,3,realpt,20
grid2d,phenoA,znorm,liability_pseudo_r2,0.097704451212848,3,realpt,20
grid2d,phenoB,gamfit,brier,0.0960077499014422,3,realpt,20
grid2d,phenoB,gamfit,mae_true_risk,0.0950199077413325,3,realpt,20
grid2d,phenoB,gamfit,rmse_true_risk,0.134256676190994,3,realpt,20
grid2d,phenoB,gamfit,auc,0.6772810153681474,3,realpt,20
grid2d,phenoB,gamfit,liability_pseudo_r2,0.1931992471024815,3,realpt,20
grid2d,phenoB,linpc,brier,0.0967071714426947,3,realpt,20
grid2d,phenoB,linpc,mae_true_risk,0.0970811832801676,3,realpt,20
grid2d,phenoB,linpc,rmse_true_risk,0.1368746597855347,3,realpt,20
grid2d,phenoB,linpc,auc,0.649746188546525,3,realpt,20
grid2d,phenoB,linpc,liability_pseudo_r2,0.1527304718493412,3,realpt,20
grid2d,phenoB,znorm,brier,0.0989112709296888,3,realpt,20
grid2d,phenoB,znorm,mae_true_risk,0.1031124551273646,3,realpt,20
grid2d,phenoB,znorm,rmse_true_risk,0.1439878194258015,3,realpt,20
grid2d,phenoB,znorm,auc,0.6231282513953667,3,realpt,20
grid2d,phenoB,znorm,liability_pseudo_r2,0.0976998622843752,3,realpt,20
grid2d,phenoB,gamfit,brier,0.1439871640172045,7,realpt,20
grid2d,phenoB,gamfit,mae_true_risk,0.1400478171002365,7,realpt,20
grid2d,phenoB,gamfit,rmse_true_risk,0.1848623165847966,7,realpt,20
grid2d,phenoB,gamfit,auc,0.6480551923144412,7,realpt,20
grid2d,phenoB,gamfit,liability_pseudo_r2,0.1827265342512621,7,realpt,20
grid2d,phenoB,linpc,brier,0.1460368498975564,7,realpt,20
grid2d,phenoB,linpc,mae_true_risk,0.1465626420417801,7,realpt,20
grid2d,phenoB,linpc,rmse_true_risk,0.1912920841040709,7,realpt,20
grid2d,phenoB,linpc,auc,0.6231792436647634,7,realpt,20
grid2d,phenoB,linpc,liability_pseudo_r2,0.1177556474548465,7,realpt,20
grid2d,phenoB,znorm,brier,0.1505308265850357,7,realpt,20
grid2d,phenoB,znorm,mae_true_risk,0.1580272592765119,7,realpt,20
grid2d,phenoB,znorm,rmse_true_risk,0.2020220013432082,7,realpt,20
grid2d,phenoB,znorm,auc,0.5168927617115331,7,realpt,20
grid2d,phenoB,znorm,liability_pseudo_r2,0.0012157729654598,7,realpt,20
grid2d,phenoA,gamfit,brier,0.1430085896217153,7,realpt,20
grid2d,phenoA,gamfit,mae_true_risk,0.1393927388257219,7,realpt,20
grid2d,phenoA,gamfit,rmse_true_risk,0.1866159218851785,7,realpt,20
grid2d,phenoA,gamfit,auc,0.6587626495847936,7,realpt,20
grid2d,phenoA,gamfit,liability_pseudo_r2,0.1144675701964281,7,realpt,20
grid2d,phenoA,linpc,brier,0.1461148982630883,7,realpt,20
grid2d,phenoA,linpc,mae_true_risk,0.1467996869212365,7,realpt,20
grid2d,phenoA,linpc,rmse_true_risk,0.1930468820874278,7,realpt,20
grid2d,phenoA,linpc,auc,0.627854050235231,7,realpt,20
grid2d,phenoA,linpc,liability_pseudo_r2,0.0696842083578012,7,realpt,20
grid2d,phenoA,znorm,brier,0.1501126550572124,7,realpt,20
grid2d,phenoA,znorm,mae_true_risk,0.1572727553625715,7,realpt,20
grid2d,phenoA,znorm,rmse_true_risk,0.203156903352384,7,realpt,20
grid2d,phenoA,znorm,auc,0.5135862164914274,7,realpt,20
grid2d,phenoA,znorm,liability_pseudo_r2,0.0012188347380622,7,realpt,20
grid2d,phenoA,gamfit,brier,0.1342130386374842,2,realpt,20
grid2d,phenoA,gamfit,mae_true_risk,0.1210516274345094,2,realpt,20
grid2d,phenoA,gamfit,rmse_true_risk,0.1664061145813859,2,realpt,20
grid2d,phenoA,gamfit,auc,0.7037316782483801,2,realpt,20
grid2d,phenoA,gamfit,liability_pseudo_r2,0.2175677548138226,2,realpt,20
grid2d,phenoA,linpc,brier,0.1384558944068022,2,realpt,20
grid2d,phenoA,linpc,mae_true_risk,0.1300066790551534,2,realpt,20
grid2d,phenoA,linpc,rmse_true_risk,0.1781281120291302,2,realpt,20
grid2d,phenoA,linpc,auc,0.6808250625709916,2,realpt,20
grid2d,phenoA,linpc,liability_pseudo_r2,0.1730437332736305,2,realpt,20
grid2d,phenoA,znorm,brier,0.1468096356193557,2,realpt,20
grid2d,phenoA,znorm,mae_true_risk,0.153383605525622,2,realpt,20
grid2d,phenoA,znorm,rmse_true_risk,0.2001948416320178,2,realpt,20
grid2d,phenoA,znorm,auc,0.5316048509036576,2,realpt,20
grid2d,phenoA,znorm,liability_pseudo_r2,0.015720236458479,2,realpt,20
grid2d,phenoB,gamfit,brier,0.1358388658979393,1,realpt,20
grid2d,phenoB,gamfit,mae_true_risk,0.1002099141539874,1,realpt,20
grid2d,phenoB,gamfit,rmse_true_risk,0.1365748195442881,1,realpt,20
grid2d,phenoB,gamfit,auc,0.7391550872877086,1,realpt,20
grid2d,phenoB,gamfit,liability_pseudo_r2,0.5326816875829273,1,realpt,20
grid2d,phenoB,linpc,brier,0.139829383759803,1,realpt,20
grid2d,phenoB,linpc,mae_true_risk,0.1102742238268145,1,realpt,20
grid2d,phenoB,linpc,rmse_true_risk,0.1484134815111022,1,realpt,20
grid2d,phenoB,linpc,auc,0.7134175475882552,1,realpt,20
grid2d,phenoB,linpc,liability_pseudo_r2,0.4574155892016866,1,realpt,20
grid2d,phenoB,znorm,brier,0.1521936554591533,1,realpt,20
grid2d,phenoB,znorm,mae_true_risk,0.1471818870550044,1,realpt,20
grid2d,phenoB,znorm,rmse_true_risk,0.1840713418254333,1,realpt,20
grid2d,phenoB,znorm,auc,0.5144493279110797,1,realpt,20
grid2d,phenoB,znorm,liability_pseudo_r2,5.08506941013792e-05,1,realpt,20
grid2d,phenoA,gamfit,brier,0.1425585788120652,1,realpt,20
grid2d,phenoA,gamfit,mae_true_risk,0.1012181670251263,1,realpt,20
grid2d,phenoA,gamfit,rmse_true_risk,0.1384320435558157,1,realpt,20
grid2d,phenoA,gamfit,auc,0.7206000504384116,1,realpt,20
grid2d,phenoA,gamfit,liability_pseudo_r2,0.4630432937520565,1,realpt,20
grid2d,phenoA,linpc,brier,0.145844068404992,1,realpt,20
grid2d,phenoA,linpc,mae_true_risk,0.1115925181220178,1,realpt,20
grid2d,phenoA,linpc,rmse_true_risk,0.1492950032309748,1,realpt,20
grid2d,phenoA,linpc,auc,0.696330574104844,1,realpt,20
grid2d,phenoA,linpc,liability_pseudo_r2,0.4086739186225772,1,realpt,20
grid2d,phenoA,znorm,brier,0.1570639473001349,1,realpt,20
grid2d,phenoA,znorm,mae_true_risk,0.1476094264931218,1,realpt,20
grid2d,phenoA,znorm,rmse_true_risk,0.1829571860498273,1,realpt,20
grid2d,phenoA,znorm,auc,0.504502272873065,1,realpt,20
grid2d,phenoA,znorm,liability_pseudo_r2,5.17262817849972e-05,1,realpt,20
