seed,scenario,divergence_gens,n_near_tags,n_far_tags,r2_near_pop0,r2_near_pop1,ratio_near,r2_far_pop0,r2_far_pop1,ratio_far,r2_far_pop1_het_neutral,ratio_far_het_neutral,r2_far_pop1_ld_destroy,ratio_far_ld_destroy,delta_ratio_near_minus_far,delta_ratio_het_intervention,delta_ratio_ld_destroy,r2_null_pop0,r2_null_pop1,mean_abs_maf_diff_near,mean_abs_maf_diff_far,delta_hetero_far_pop1_minus_pop0,beta_corr_far_pop0_vs_pop1
1,divergence,0,378,378,0.6194115069105304,0.6097755229206271,0.9844433242159721,0.4892209135701065,0.4599881200777997,0.9402462309328122,0.45822586180097935,0.9366440581148919,0.0016570905546261477,0.003387203017412874,0.044197093283159905,-0.0036021728179203016,-0.9368590279153993,0.0025159772212576207,0.0008189758720849416,0.0059408068783068785,0.006985504850088184,-0.00043767022385735044,0.866480687859796
3,divergence,0,377,377,0.5987516017156627,0.6065792496911862,1.0130732810619532,0.4568565634086951,0.4260254429333134,0.9325146600820512,0.42127008454695014,0.9221057948774395,3.471578688342338e-06,7.59883728590921e-06,0.08055862097990196,-0.010408865204611706,-0.9325070612447652,0.0005828530624816278,0.00621401604571754,0.005965130415561451,0.006078967727674625,-0.0003482760347590652,0.8380028351313057
4,divergence,0,386,386,0.4865029510923842,0.4712157562920816,0.9685773852635899,0.39747853036716624,0.40171008970238475,1.0106460072983305,0.39836316484717205,1.0022256157563747,0.0003052671330722719,0.000768009111813624,-0.0420686220347406,-0.00842039154195584,-1.009877998186517,0.004410150746222312,0.0072440671185487965,0.006367389896373058,0.007293555699481868,0.0003991991287960739,0.8084859741229505
2,divergence,0,374,374,0.5263232281185389,0.5549148350040675,1.0543232853084135,0.4107666425851111,0.4561719795932802,1.1105380337663644,0.45384623930802787,1.104876083539307,0.0025448012624800635,0.006195248101122961,-0.056214748457950936,-0.0056619502270574,-1.1043427856652415,0.0006629792779400836,6.028411384342361e-06,0.00683739973262032,0.007200311942959002,-0.0008981015346479215,0.8503423072408325
5,divergence,0,383,383,0.5358739123857402,0.5319378899859564,0.9926549467910082,0.3941863323122399,0.3979129639719532,1.0094539849665853,0.39978537606292464,1.0142040534937922,3.3363122794824295e-05,8.463794926404742e-05,-0.016799038175577152,0.00475006852720683,-1.0093693470173213,0.00033469698290025456,0.003247059504870085,0.007695278503046127,0.008147573977371626,0.0005812519831556728,0.8089552362581286
6,divergence,0,374,374,0.5924482904944204,0.5590536933228563,0.9436328913301529,0.4260511984160648,0.4479909947831461,1.0514956804455593,0.4514210255593998,1.0595464283110871,0.003999657546149729,0.009387739222467393,-0.10786278911540637,0.00805074786552784,-1.0421079412230918,0.0010423386031820456,0.0009270957138747758,0.006835171568627452,0.007391655525846705,-0.00029805470838900616,0.8053272909263768
7,divergence,0,376,376,0.5796033533252822,0.5395223602827087,0.9308475480470876,0.42919278517985004,0.43118411269409257,1.0046397040747272,0.43145351634485124,1.0052674025357948,2.344082176882265e-07,5.461606666803578e-07,-0.07379215602763967,0.0006276984610675829,-1.0046391579140606,0.005595041988479356,0.006765105286576968,0.007320201684397162,0.0075847739361702094,-0.00021826876015812458,0.8316185218513598
8,divergence,0,383,383,0.542306342881701,0.5337862421659533,0.9842891368917543,0.42639915912182813,0.44415666048427394,1.041645254176902,0.44193915807406586,1.0364447223213162,0.00035013879521236644,0.0008211526400133611,-0.057356117285147556,-0.005200531855585666,-1.0408241015368886,0.003558099244803663,5.6643919986906256e-05,0.006951969103568319,0.006984062228024369,-7.794424952856094e-06,0.8573700083527741
2,divergence,50,373,373,0.5777865462845556,0.4930786008145861,0.8533923193354325,0.43685214432935304,0.2874469835355127,0.6579960457257128,0.28322117841555383,0.6483227382352661,0.0005349854781713168,0.0012246374090543063,0.19539627360971967,-0.009673307490446703,-0.6567714083166585,0.0022504236222053845,0.024011152967401795,0.01782143655049151,0.018779602323503126,0.0006504176208295964,0.5990530480328662
1,divergence,50,385,385,0.5535452499322204,0.5003976907962123,0.9039869655777629,0.425552896631472,0.3327534391363484,0.7819320271823041,0.3233073005216575,0.7597346959234565,0.00013692377459299262,0.00032175500549246256,0.12205493839545878,-0.022197331258847597,-0.7816102721768117,0.0035310900252769535,0.020644725632706376,0.017451839826839826,0.019018398268398268,0.00023402631222940729,0.5804767426521248
3,divergence,50,378,378,0.6484641626543706,0.5205971831713767,0.8028156575999612,0.48992162792989385,0.29813837834891355,0.6085430022933712,0.30477704825881813,0.6220934755352966,0.000665569972417663,0.0013585233524593524,0.19427265530659,0.013550473241925376,-0.6071844789409119,0.0025003541104190673,0.004646771489079075,0.017274305555555557,0.01783509700176367,-0.00012245370370372877,0.6286792349422483
4,divergence,50,382,382,0.5570760369455752,0.3934506865173476,0.7062782464573802,0.3933822993889476,0.23103322443259952,0.5872994915924542,0.22838786743133344,0.5805748448420153,0.0014402177019100014,0.0036611146565240335,0.11897875486492604,-0.006724646750438934,-0.5836383769359301,0.04195940629498045,0.018395053497696698,0.01724967277486911,0.01754853839441536,0.00016871261907355772,0.5616440073240295
5,divergence,50,385,385,0.5561753416931214,0.46606251724736714,0.8379776705464309,0.44050996474881815,0.3277151950894691,0.7439450212581107,0.32934387640450813,0.7476422845333415,3.4520542142411093e-06,7.836495177151088e-06,0.09403264928832022,0.003697263275230789,-0.7439371847629336,0.017931171869232838,0.0007790415139189787,0.01746888528138528,0.01904301948051948,0.00016642761318538812,0.6507331787072663
